intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i0,97,6.4,7.3,8.6,6.4,7.6,8.9,10.0,6.8,0,6
i1,97,5.5,9.1,10.6,6.4,7.3,10.6,13.0,7.3,0,21
i2,97,7.8,7.3,4.7,7.0,10.1,8.7,5.1,8.8,0,0
i3,97,7.0,6.7,6.1,4.4,8.8,7.6,7.0,5.4,0,26
i4,97,6.0,5.4,7.3,4.9,8.2,5.7,8.7,6.3,0,25
i5,97,7.7,6.2,7.1,5.5,9.5,6.7,7.8,4.7,1,17
i6,97,8.7,5.8,6.0,6.9,13.0,8.0,6.9,7.8,0,22
i0,98,7.0,7.3,8.9,4.9,8.3,8.5,10.6,4.8,0,7
i1,98,4.6,8.1,10.2,6.6,6.6,10.6,12.3,7.4,1,0
i2,98,8.0,6.6,4.1,7.6,9.5,7.6,4.8,9.3,0,1
i3,98,8.0,6.2,6.0,4.3,10.4,6.9,6.4,5.2,0,27
i4,98,4.9,6.8,7.4,6.2,6.6,9.4,9.4,7.4,0,26
i5,98,7.7,7.1,6.7,6.0,9.0,9.6,6.7,8.4,1,18
i6,98,8.2,6.1,5.3,6.5,9.9,6.7,7.4,8.1,0,23
i0,99,6.7,8.4,8.7,6.4,9.4,10.2,11.0,8.7,0,8
i1,99,6.1,8.1,9.4,6.6,7.6,11.0,11.4,7.3,1,1
i2,99,8.5,7.1,5.4,5.9,10.0,8.4,8.2,9.4,0,2
i3,99,7.4,5.9,6.4,4.7,8.8,6.8,7.7,6.4,0,28
i4,99,5.1,7.0,7.3,7.7,7.0,9.9,8.6,11.0,0,27
i5,99,6.8,5.4,5.8,6.0,9.3,6.5,6.5,8.6,1,19
i6,99,7.9,4.9,5.4,6.9,10.1,6.5,5.8,9.5,0,24
i0,100,7.6,8.4,9.0,6.1,10.9,10.4,10.6,7.6,0,9
i1,100,6.1,7.4,9.4,6.7,7.5,9.6,12.9,9.0,1,2
i2,100,7.9,7.8,5.1,5.6,9.0,10.2,6.3,6.1,0,3
i3,100,5.6,5.8,6.4,5.1,6.7,6.0,8.0,5.8,0,29
i4,100,3.9,5.9,6.3,5.5,4.1,5.9,7.3,6.8,0,28
i5,100,7.7,4.6,5.9,6.1,10.1,5.4,6.1,7.3,1,20
i6,100,7.9,5.6,4.8,7.2,10.9,6.5,6.1,8.8,0,25
i0,101,7.1,7.6,7.7,6.3,9.3,9.2,9.4,8.2,0,10
i1,101,6.1,6.9,9.3,7.7,7.7,9.4,11.4,10.4,1,3
i2,101,8.7,8.0,5.3,6.1,9.8,11.3,6.8,8.1,0,4
i3,101,6.2,4.6,6.8,5.0,7.7,6.6,7.1,5.8,0,30
i4,101,3.9,4.8,5.4,5.3,5.2,6.2,7.2,6.7,0,29
i5,101,6.6,6.0,6.8,5.4,8.0,8.4,8.5,6.1,1,21
i6,101,8.2,6.8,4.5,8.0,10.6,9.7,6.1,8.8,0,26
i0,102,6.8,7.8,6.9,6.6,10.3,9.6,7.6,8.7,0,11
i1,102,6.4,6.8,8.0,7.7,6.9,8.4,9.8,10.2,1,4
i2,102,8.4,7.5,5.7,7.0,10.7,10.3,7.4,8.5,0,5
i3,102,7.8,5.2,6.7,4.2,9.1,7.6,7.5,6.3,0,31
i4,102,4.1,4.7,5.9,6.6,5.9,6.6,8.4,7.6,1,0
i5,102,7.5,6.0,6.1,3.6,9.8,8.7,8.1,4.6,0,0
i6,102,7.2,6.3,4.9,7.3,8.6,6.2,6.9,9.5,0,27
i0,103,6.8,8.0,6.5,7.3,8.8,8.8,8.1,8.3,0,12
i1,103,5.0,6.8,6.9,6.8,6.2,9.0,8.9,9.0,1,5
i2,103,6.3,6.6,5.0,7.1,7.6,7.3,6.4,9.1,0,6
i3,103,7.5,6.9,6.6,4.1,9.4,10.1,8.2,5.1,0,32
i4,103,5.1,5.2,5.1,5.7,5.8,6.0,7.8,7.6,1,1
i5,103,6.8,6.1,6.4,4.8,8.6,7.3,8.0,5.2,0,1
i6,103,5.4,5.3,4.9,7.6,7.2,5.4,6.4,10.0,0,28
i0,104,6.1,7.5,6.9,6.9,6.3,9.5,8.5,8.5,0,13
i1,104,5.8,6.8,6.9,8.0,7.6,8.4,7.4,9.8,1,6
i2,104,5.7,6.5,4.7,6.6,7.1,8.5,6.6,9.1,0,7
i3,104,8.1,6.7,5.8,4.2,9.1,8.5,6.8,5.4,0,33
i4,104,5.6,6.3,5.0,5.6,6.7,8.8,6.5,6.6,1,2
i5,104,6.5,6.0,5.7,5.0,9.2,6.5,7.5,6.6,0,2
i6,104,5.9,5.7,4.9,7.2,8.2,6.5,6.6,9.9,0,29
i0,105,5.2,8.2,7.6,6.9,7.5,9.7,10.8,8.0,0,14
i1,105,5.7,7.5,7.7,7.8,6.9,8.0,9.3,9.8,1,7
i2,105,4.3,6.6,5.4,6.6,4.3,8.8,5.5,9.0,0,8
i3,105,8.1,6.0,5.8,4.1,10.5,6.8,6.5,4.7,0,34
i4,105,4.8,5.3,5.4,5.8,4.1,5.9,7.0,7.1,1,3
i5,105,6.9,5.6,6.0,4.6,9.1,6.7,7.6,5.5,0,3
i6,105,7.7,5.1,6.4,7.1,9.5,6.1,8.8,7.5,0,30
i0,106,6.0,7.9,6.2,7.2,7.4,8.5,7.5,8.4,0,15
i1,106,5.9,6.3,7.5,7.3,7.4,6.9,10.9,9.2,1,8
i2,106,3.4,5.5,5.7,5.8,5.4,8.7,4.9,7.0,1,0
i3,106,7.9,5.5,7.0,3.6,10.2,6.1,8.3,5.6,0,35
i4,106,4.9,4.9,5.9,6.7,6.2,6.0,7.2,9.4,1,4
i5,106,7.4,5.2,5.2,5.4,10.3,6.3,5.2,6.2,0,4
i6,106,7.6,5.4,6.5,6.8,9.5,5.5,9.4,8.3,0,31
i0,107,6.8,7.1,6.0,6.3,7.2,8.1,7.4,8.3,0,16
i1,107,5.5,7.2,6.8,5.7,8.0,10.7,7.2,7.0,1,9
i2,107,2.6,6.2,6.1,5.6,4.3,6.9,7.2,7.4,1,1
i3,107,7.0,6.6,6.0,5.7,6.7,7.6,7.6,6.8,0,36
i4,107,5.8,5.3,6.4,6.9,7.3,6.0,7.4,8.7,1,5
i5,107,6.8,5.8,5.3,5.3,9.6,5.9,7.2,7.2,0,5
i6,107,6.4,5.8,6.0,6.3,7.2,6.5,7.5,7.3,0,32
i0,108,6.6,6.6,6.8,6.9,7.9,8.3,7.4,8.9,0,17
i1,108,5.6,7.8,6.6,5.4,6.7,10.4,9.2,6.7,1,10
i2,108,2.9,6.3,6.9,5.1,4.7,8.1,7.3,7.7,1,2
i3,108,6.9,6.3,5.5,5.2,8.4,7.6,7.6,6.8,0,37
i4,108,6.6,5.3,5.7,6.5,8.8,6.2,7.1,7.6,1,6
i5,108,6.9,5.5,6.6,5.9,8.5,6.9,8.5,6.3,0,6
i6,108,7.2,5.3,6.7,5.2,8.8,7.0,7.9,6.6,0,33
i0,109,6.4,6.7,6.6,6.4,8.6,9.0,8.6,7.9,0,18
i1,109,7.6,7.2,7.1,6.3,10.5,8.8,10.3,8.0,1,11
i2,109,4.7,5.5,5.7,5.2,5.3,7.7,5.8,6.3,1,3
i3,109,7.0,6.1,4.8,5.7,8.4,6.8,5.8,8.2,0,38
i4,109,6.5,6.1,6.7,5.7,6.8,7.7,8.7,7.0,1,7
i5,109,6.5,6.0,6.4,5.8,8.4,8.3,9.5,8.7,0,7
i6,109,6.9,4.9,6.4,5.6,8.3,7.7,7.9,8.5,0,34
i0,110,5.9,7.9,6.5,7.1,8.0,8.5,7.5,8.5,0,19
i1,110,7.7,8.5,7.8,5.6,9.3,10.4,8.3,5.3,1,12
i2,110,6.6,5.2,7.0,4.9,8.6,5.0,8.3,5.7,1,4
i3,110,5.4,6.4,5.0,5.6,6.3,6.3,6.9,7.4,0,39
i4,110,6.0,5.8,6.7,5.7,6.9,7.1,8.6,5.7,1,8
i5,110,5.6,7.3,5.3,5.6,6.0,9.4,7.1,7.4,0,8
i6,110,6.6,4.9,6.0,5.7,10.1,7.0,8.6,7.7,0,35
i0,111,6.2,7.4,6.6,7.8,7.6,9.1,10.8,9.4,0,20
i1,111,6.8,7.5,5.9,5.9,9.4,9.5,8.3,8.7,1,13
i2,111,6.9,5.7,5.2,5.9,9.3,6.9,5.9,7.2,1,5
i3,111,4.9,5.9,5.7,4.3,6.0,8.2,5.9,4.7,1,0
i4,111,6.7,6.0,6.3,4.7,7.6,6.7,6.9,6.3,1,9
i5,111,6.0,7.2,6.1,5.2,8.0,8.0,8.4,6.3,0,9
i6,111,6.7,5.9,6.1,5.1,8.5,7.0,7.6,6.5,0,36
i0,112,6.6,6.0,5.9,6.5,8.8,7.9,6.1,7.1,0,21
i1,112,6.5,7.0,5.5,6.2,8.4,7.9,7.7,7.7,1,14
i2,112,7.0,6.1,4.9,4.6,10.5,7.5,5.8,7.3,1,6
i3,112,5.3,5.9,5.5,5.9,6.5,6.7,6.9,6.6,1,1
i4,112,6.0,5.3,5.4,4.3,8.1,7.2,6.6,5.2,1,10
i5,112,6.1,7.4,5.3,5.9,8.3,8.8,8.6,6.0,0,10
i6,112,6.7,7.0,7.7,5.9,7.3,7.8,9.6,7.9,0,37
i0,113,7.2,7.4,4.7,6.6,8.6,9.4,4.8,8.1,0,22
i1,113,4.4,7.3,6.2,6.3,4.0,8.5,7.0,6.8,1,15
i2,113,7.0,6.2,5.5,4.8,9.2,8.1,6.0,5.5,1,7
i3,113,5.1,6.4,6.4,5.9,5.0,9.6,8.6,6.7,1,2
i4,113,5.7,5.8,6.5,4.4,8.1,6.3,8.2,7.2,1,11
i5,113,6.2,6.2,6.8,6.6,8.3,8.5,8.2,8.2,0,11
i6,113,6.7,5.6,7.2,6.0,7.5,6.8,7.9,8.0,0,38
i0,114,5.1,7.2,5.5,6.7,6.5,10.1,6.7,7.6,0,23
i1,114,5.9,6.8,7.3,6.5,6.3,7.8,9.9,8.7,1,16
i2,114,5.9,7.1,6.2,5.5,7.7,8.6,8.7,6.9,1,8
i3,114,5.6,6.5,4.9,4.2,6.2,7.7,6.1,5.6,1,3
i4,114,5.3,6.5,6.1,5.2,6.2,9.4,6.4,6.9,1,12
i5,114,6.4,5.8,6.9,5.0,8.2,5.7,9.5,5.6,0,12
i6,114,7.5,5.6,7.4,5.6,8.8,7.0,9.1,4.9,0,39
i0,115,5.8,8.6,3.9,6.3,8.0,10.2,5.8,7.6,0,24
i1,115,6.8,6.5,6.9,6.5,7.8,8.0,8.0,7.6,1,17
i2,115,5.5,6.4,6.4,4.9,8.1,9.7,7.2,5.3,1,9
i3,115,6.1,6.3,5.6,4.5,7.3,8.7,7.0,5.6,1,4
i4,115,6.0,7.3,4.8,5.7,7.2,11.8,6.3,8.1,0,0
i5,115,6.7,5.6,6.0,5.2,8.9,7.4,7.3,7.2,0,13
i6,115,6.2,6.2,6.5,6.6,7.6,8.1,7.1,7.8,1,0
i0,116,5.4,7.7,5.3,7.2,6.5,8.8,5.9,9.4,0,25
i1,116,6.6,5.0,6.6,5.8,8.3,7.2,8.9,8.0,1,18
i2,116,5.2,5.7,6.3,4.4,6.2,7.2,9.3,6.0,1,10
i3,116,5.4,6.7,5.5,5.9,6.2,7.2,7.4,7.6,1,5
i4,116,7.1,6.6,3.8,6.2,9.0,8.2,3.5,7.9,0,1
i5,116,6.5,5.4,6.4,5.0,7.9,6.8,8.6,6.8,0,14
i6,116,6.7,5.7,5.8,6.1,7.3,7.6,7.8,9.0,1,1
i0,117,5.2,6.4,5.3,5.1,5.3,8.1,5.7,7.2,0,26
i1,117,7.1,5.3,6.2,6.2,7.8,5.3,7.6,7.6,1,19
i2,117,5.4,5.4,7.7,5.4,6.0,6.7,9.4,6.0,1,11
i3,117,6.4,6.9,6.1,5.5,8.1,7.9,6.2,8.0,1,6
i4,117,6.1,6.0,3.1,5.5,8.1,8.0,4.6,6.7,0,2
i5,117,5.7,6.6,6.6,6.8,5.8,8.4,9.7,8.3,0,15
i6,117,6.0,5.7,5.7,6.0,7.2,6.9,7.3,7.2,1,2
i0,118,4.7,5.6,6.1,5.9,5.4,6.8,7.6,8.2,0,27
i1,118,7.1,6.8,5.8,5.3,8.6,8.0,7.9,5.1,0,0
i2,118,5.8,5.4,8.3,5.6,5.7,6.8,9.6,6.6,1,12
i3,118,6.6,6.3,6.6,5.7,9.5,8.5,8.1,7.5,1,7
i4,118,7.0,6.3,4.3,6.6,10.2,8.5,5.7,8.2,0,3
i5,118,4.6,6.5,6.4,6.2,4.0,8.4,8.0,7.9,0,16
i6,118,6.3,6.4,6.7,4.6,7.0,6.6,8.4,6.1,1,3
i0,119,5.4,4.6,7.5,6.2,6.5,5.5,7.5,7.1,1,0
i1,119,6.9,7.1,5.1,6.4,8.8,8.8,7.7,8.5,0,1
i2,119,5.4,5.3,6.8,6.7,6.5,5.8,8.1,8.6,1,13
i3,119,6.2,6.5,7.2,6.2,7.3,7.8,9.0,6.1,1,8
i4,119,6.1,6.3,3.6,6.7,7.7,8.1,3.8,9.3,0,4
i5,119,5.5,5.6,6.6,6.9,5.6,7.0,7.1,10.0,0,17
i6,119,7.2,6.5,7.2,4.7,8.7,7.2,10.6,6.4,1,4
i0,120,4.7,5.4,9.0,7.2,6.1,7.5,11.4,8.6,1,1
i1,120,7.1,6.0,6.2,6.7,7.8,8.5,8.3,8.7,0,2
i2,120,4.8,5.3,6.9,7.3,6.6,6.8,7.9,8.9,1,14
i3,120,6.8,6.1,6.8,5.1,7.7,8.9,7.7,6.7,1,9
i4,120,5.0,6.5,4.5,5.1,7.1,7.8,4.7,5.9,0,5
i5,120,5.4,6.0,6.4,7.4,7.1,7.4,8.0,10.3,0,18
i6,120,7.2,5.7,5.6,4.5,9.7,7.9,6.7,6.2,1,5
i0,121,5.9,5.5,8.4,6.7,9.1,7.6,10.3,9.5,1,2
i1,121,6.9,7.2,7.2,7.5,9.3,9.9,9.4,9.5,0,3
i2,121,5.9,5.2,7.5,7.8,7.3,7.1,8.7,8.3,1,15
i3,121,7.0,5.4,7.2,5.1,8.4,7.4,9.4,5.6,1,10
i4,121,3.9,7.0,4.5,5.4,2.8,9.1,5.3,6.4,0,6
i5,121,6.7,6.0,5.0,6.2,7.3,7.4,5.9,8.2,0,19
i6,121,6.8,5.2,5.9,6.4,8.7,7.4,6.5,7.5,1,6
i0,122,6.0,5.4,8.4,6.1,7.3,8.3,10.3,8.2,1,3
i1,122,7.7,7.1,6.6,8.1,10.2,8.4,7.7,10.9,0,4
i2,122,6.0,4.8,7.1,7.1,6.2,5.7,8.0,9.5,1,16
i3,122,7.2,6.0,7.5,5.7,8.1,6.5,10.7,6.2,1,11
i4,122,4.7,7.4,5.1,5.8,4.8,9.8,6.8,7.2,0,7
i5,122,6.0,5.9,5.3,5.8,8.9,6.3,5.7,6.6,0,20
i6,122,6.7,4.9,5.8,6.0,8.2,7.0,7.6,7.9,1,7
i0,123,4.9,5.7,7.7,6.5,5.5,7.7,8.6,8.1,1,4
i1,123,7.3,7.2,5.2,6.3,8.5,9.3,6.3,8.3,0,5
i2,123,7.3,3.3,7.7,6.0,9.7,4.5,10.1,7.9,1,17
i3,123,6.6,7.1,7.6,5.9,8.6,9.3,10.2,6.2,1,12
i4,123,6.1,7.2,5.3,5.8,8.2,10.8,5.5,6.7,0,8
i5,123,5.2,6.1,4.2,5.7,6.4,9.2,6.5,7.1,0,21
i6,123,7.1,6.3,5.3,5.7,8.2,7.2,6.8,5.9,1,8
i0,124,6.2,5.6,6.8,5.9,7.9,6.9,8.4,7.3,1,5
i1,124,7.6,7.0,5.8,5.6,9.4,9.3,8.6,5.6,0,6
i2,124,6.6,4.3,6.9,6.8,8.2,6.2,7.6,7.9,1,18
i3,124,6.0,7.4,7.7,5.4,6.9,9.7,9.3,6.8,1,13
i4,124,7.4,6.4,5.7,5.5,8.6,8.2,8.1,7.7,0,9
i5,124,4.3,5.5,4.4,6.3,3.7,6.8,5.6,7.6,0,22
i6,124,6.3,6.6,5.3,5.7,7.8,7.5,6.9,6.5,1,9
i0,125,6.2,6.2,4.9,5.4,7.6,7.7,5.9,5.3,1,6
i1,125,8.1,6.7,5.1,5.3,10.3,8.8,4.8,6.3,0,7
i2,125,7.6,4.8,7.8,6.6,11.4,6.2,10.4,8.7,1,19
i3,125,5.8,7.3,6.8,5.9,7.5,8.0,9.4,8.3,1,14
i4,125,7.2,7.2,5.2,6.4,8.6,8.7,6.4,6.6,0,10
i5,125,5.8,6.0,4.8,6.6,7.1,8.7,5.3,8.4,0,23
i6,125,7.8,5.7,5.4,5.8,8.9,7.1,6.0,8.0,1,10
i0,126,6.6,6.4,5.9,4.8,7.5,9.3,7.7,5.9,1,7
i1,126,8.9,6.3,6.3,5.1,10.6,7.6,7.9,5.8,0,8
i2,126,7.5,5.8,6.7,7.0,9.4,5.8,7.7,8.6,1,20
i3,126,5.3,6.1,5.9,6.3,6.4,6.9,7.4,7.4,1,15
i4,126,6.5,6.6,6.0,7.5,6.8,8.4,6.7,9.1,0,11
i5,126,6.4,7.1,4.3,5.8,7.7,8.5,4.8,7.2,0,24
i6,126,6.2,5.4,5.1,5.9,8.0,6.4,4.9,7.1,1,11
i0,127,6.9,6.6,6.2,6.3,7.9,8.1,8.6,8.2,1,8
i1,127,8.7,5.8,4.7,6.4,11.6,6.5,5.5,9.1,0,9
i2,127,7.1,5.1,6.9,6.2,8.8,6.7,8.9,6.7,1,21
i3,127,5.1,5.4,6.9,6.0,5.9,6.8,9.1,5.1,1,16
i4,127,7.5,6.8,5.8,7.0,8.5,8.4,6.9,8.1,0,12
i5,127,6.1,6.2,5.0,6.4,6.0,7.4,7.3,6.3,0,25
i6,127,6.4,4.3,4.7,5.2,7.2,5.1,5.8,6.6,1,12
i0,128,6.9,5.3,7.0,7.1,8.3,7.0,8.7,8.8,1,9
i1,128,7.8,6.2,5.7,7.6,9.6,7.6,7.0,10.4,0,10
i2,128,7.6,6.2,7.1,5.6,10.6,7.7,8.0,7.1,1,22
i3,128,5.1,5.5,7.7,7.2,6.7,6.6,8.3,9.7,1,17
i4,128,7.8,6.8,4.4,7.6,11.3,8.7,5.9,8.9,0,13
i5,128,4.6,4.6,4.3,6.4,5.6,5.5,5.8,7.2,0,26
i6,128,6.0,4.7,5.9,6.6,7.5,5.8,7.3,9.0,1,13
i0,129,7.1,4.7,6.7,7.8,9.3,6.9,9.7,9.5,1,10
i1,129,7.0,6.3,5.3,6.7,9.2,7.6,6.6,7.9,0,11
i2,129,8.0,6.6,7.1,7.2,10.3,8.8,8.7,8.4,1,23
i3,129,5.0,6.1,7.0,6.8,6.7,6.9,8.2,8.4,1,18
i4,129,6.6,5.8,5.9,6.4,8.3,6.9,7.5,7.4,0,14
i5,129,5.0,6.0,5.2,5.7,5.5,8.2,7.7,7.4,0,27
i6,129,4.5,5.4,6.3,7.8,5.3,7.6,7.9,9.9,1,14
i0,130,6.3,4.5,6.6,7.9,7.2,6.7,7.6,11.9,1,11
i1,130,6.5,6.2,5.5,6.7,9.1,7.9,8.3,7.6,0,12
i2,130,8.0,8.3,6.5,7.7,10.7,10.2,8.3,8.2,1,24
i3,130,5.2,6.3,6.6,7.1,6.6,8.2,8.3,10.1,1,19
i4,130,6.1,5.6,5.5,4.8,6.9,5.7,6.5,4.7,0,15
i5,130,5.6,5.7,4.3,5.2,6.3,7.5,6.2,6.9,0,28
i6,130,4.1,6.4,5.6,7.8,4.1,7.1,8.0,9.2,1,15
i0,131,6.7,5.7,6.9,7.3,7.3,8.1,10.6,9.6,1,12
i1,131,6.4,4.9,5.6,6.2,8.9,5.0,7.7,7.8,0,13
i2,131,6.8,7.4,6.6,6.7,8.4,10.4,7.1,7.5,1,25
i3,131,5.3,6.0,6.0,5.4,5.9,7.3,7.3,6.3,1,20
i4,131,6.8,5.3,5.0,5.1,8.4,7.0,5.5,6.4,0,16
i5,131,5.5,6.3,5.7,5.1,6.8,8.0,6.6,7.4,0,29
i6,131,4.0,7.0,5.9,8.2,4.4,8.1,7.0,12.4,1,16
i0,132,6.0,5.1,5.8,6.8,7.2,6.7,8.4,8.3,1,13
i1,132,6.2,5.4,5.9,6.2,8.3,6.6,6.4,6.4,0,14
i2,132,6.2,7.4,6.9,5.7,7.8,10.7,8.0,7.8,1,26
i3,132,4.9,5.0,6.8,4.2,5.8,5.7,8.4,5.3,1,21
i4,132,6.5,6.2,5.5,5.5,8.0,8.0,6.6,8.1,0,17
i5,132,5.2,5.6,6.0,5.7,6.0,7.7,6.2,7.4,0,30
i6,132,5.6,6.1,6.8,7.8,6.3,7.3,9.1,12.0,1,17
i0,133,6.2,6.0,6.5,7.2,5.3,8.6,10.3,9.3,1,14
i1,133,5.5,7.0,6.9,6.0,7.4,11.2,8.2,7.3,0,15
i2,133,7.3,6.3,6.6,5.7,8.8,8.6,9.6,8.1,1,27
i3,133,5.6,5.8,6.8,4.4,7.4,6.5,8.9,5.3,1,22
i4,133,6.9,6.5,7.1,5.8,9.4,8.0,8.1,6.4,0,18
i5,133,6.4,6.2,4.5,6.1,7.2,7.4,6.3,8.0,0,31
i6,133,4.4,5.2,6.1,7.9,5.9,6.1,9.3,9.2,1,18
i0,134,6.5,6.0,6.2,4.9,8.7,5.4,7.4,6.1,1,15
i1,134,5.1,6.8,6.1,6.1,5.7,7.1,9.2,7.6,0,16
i2,134,7.5,7.1,7.6,4.9,10.3,9.0,9.4,5.5,1,28
i3,134,5.9,5.4,5.8,4.2,7.7,7.1,7.1,6.7,1,23
i4,134,6.3,7.1,7.4,5.5,8.8,9.5,10.8,7.6,0,19
i5,134,6.1,6.6,4.7,5.2,6.5,7.5,6.3,7.0,0,32
i6,134,5.5,5.6,6.1,6.5,6.3,7.2,7.6,6.9,1,19
i0,135,6.9,6.2,6.5,5.8,8.5,9.0,8.0,4.6,1,16
i1,135,5.4,7.2,7.5,6.5,7.4,8.3,9.9,9.0,0,17
i2,135,8.5,7.7,7.4,5.7,10.9,8.2,8.8,6.5,1,29
i3,135,5.5,5.6,5.4,4.5,7.2,8.1,6.5,5.8,1,24
i4,135,6.3,6.1,5.7,5.7,7.3,7.4,7.1,8.4,0,20
i5,135,5.1,7.4,5.1,4.6,6.8,9.5,6.5,5.5,0,33
i6,135,5.6,6.1,5.2,6.1,7.1,6.9,6.1,7.2,1,20
i0,136,7.0,7.0,7.2,5.1,9.0,8.5,10.0,5.5,1,17
i1,136,6.9,6.2,7.7,5.7,9.0,8.6,7.7,6.9,0,18
i2,136,8.7,7.7,6.5,5.5,11.7,9.3,7.2,8.8,0,0
i3,136,5.6,6.4,6.6,4.8,6.5,7.9,8.5,4.7,1,25
i4,136,7.0,6.5,6.3,4.9,9.0,8.5,8.0,4.7,0,21
i5,136,5.0,8.7,5.8,4.1,6.0,12.7,5.7,5.4,0,34
i6,136,5.9,6.4,4.7,6.0,6.2,8.7,4.1,8.7,1,21
i0,137,7.2,7.2,7.6,6.5,8.8,9.7,8.9,9.4,1,18
i1,137,7.2,6.7,6.5,6.3,8.6,9.2,8.0,7.0,0,19
i2,137,8.0,6.1,6.3,6.4,9.7,7.9,7.5,7.5,0,1
i3,137,6.2,6.7,5.9,4.7,8.0,8.7,7.2,6.4,1,26
i4,137,7.2,5.3,6.9,5.3,9.0,6.3,8.9,5.4,0,22
i5,137,6.1,7.8,5.8,4.4,7.0,10.8,7.1,4.9,0,35
i6,137,5.8,7.0,5.2,6.6,8.1,8.3,7.4,8.3,1,22
i0,138,7.5,6.1,6.7,5.3,7.4,6.8,8.6,5.7,1,19
i1,138,6.0,8.0,4.3,5.3,6.9,10.3,3.8,7.1,0,20
i2,138,6.5,6.9,6.6,5.0,8.0,8.7,8.2,6.2,0,2
i3,138,6.1,7.2,6.4,4.5,6.5,9.3,8.1,4.6,1,27
i4,138,7.4,5.4,6.3,5.7,8.0,5.8,8.1,6.1,0,23
i5,138,6.2,7.6,6.4,4.9,8.3,9.3,7.7,6.5,0,36
i6,138,5.8,6.4,5.2,5.8,6.5,8.3,6.7,8.0,1,23
i0,139,6.9,7.6,6.2,5.2,7.5,9.6,7.7,5.8,0,0
i1,139,8.0,7.0,5.1,5.5,10.3,8.0,6.8,6.3,0,21
i2,139,6.6,6.5,8.3,6.2,7.6,8.7,11.0,7.6,0,3
i3,139,5.5,7.4,6.0,6.0,6.9,9.0,8.0,6.0,1,28
i4,139,6.3,5.6,7.9,6.2,8.1,6.5,10.2,7.5,0,24
i5,139,7.0,7.7,6.3,5.9,7.9,11.1,9.5,7.7,0,37
i6,139,5.9,6.5,5.2,6.8,9.4,9.4,7.2,9.1,1,24
i0,140,7.2,6.9,5.2,5.9,9.3,8.4,6.1,6.7,0,1
i1,140,6.4,6.3,5.2,6.0,8.5,7.7,6.8,7.7,0,22
i2,140,6.5,6.8,8.7,7.1,7.6,7.7,9.4,8.1,0,4
i3,140,5.4,7.0,4.6,7.1,6.6,8.9,5.9,9.4,1,29
i4,140,6.4,5.5,7.9,5.9,7.0,5.8,9.1,7.0,0,25
i5,140,7.6,7.0,7.1,6.0,10.0,8.4,9.2,6.6,0,38
i6,140,5.2,5.8,5.3,6.9,6.9,7.2,6.8,9.5,1,25
i0,141,7.7,7.6,5.9,6.1,10.3,8.8,5.9,8.8,0,2
i1,141,6.6,6.0,6.2,6.4,9.2,8.8,6.3,7.8,0,23
i2,141,6.5,6.7,8.0,7.8,7.0,7.3,10.0,9.3,0,5
i3,141,5.8,6.6,5.6,7.8,8.9,8.0,6.6,9.8,1,30
i4,141,6.3,6.4,8.3,4.3,8.6,8.3,11.3,6.5,0,26
i5,141,6.1,6.8,6.1,6.1,7.8,8.2,8.3,7.5,0,39
i6,141,5.5,4.4,6.3,5.5,7.3,5.5,7.7,7.2,1,26
i0,142,6.4,6.6,7.1,6.0,9.7,8.0,8.5,8.0,0,3
i1,142,6.8,6.0,5.9,6.1,8.9,6.2,7.4,8.0,0,24
i2,142,6.9,5.9,7.1,6.4,7.6,7.9,9.3,7.5,0,6
i3,142,5.4,7.2,5.7,7.4,7.9,9.9,7.2,10.2,1,31
i4,142,5.3,7.4,6.8,4.5,4.8,9.0,7.7,6.4,0,27
i5,142,4.9,6.8,7.2,6.4,6.8,8.0,8.0,8.8,1,0
i6,142,6.2,4.6,5.2,5.1,8.0,4.6,7.5,6.5,1,27
i0,143,7.4,7.9,6.1,5.8,9.6,9.2,8.2,7.2,0,4
i1,143,6.6,5.5,7.0,7.3,7.6,6.7,8.1,9.6,0,25
i2,143,5.9,5.7,5.7,6.1,7.6,6.8,6.9,6.5,0,7
i3,143,6.1,7.5,6.7,7.5,8.7,8.6,9.1,9.2,1,32
i4,143,6.4,7.0,5.7,4.5,7.8,8.2,8.0,6.2,0,28
i5,143,5.0,7.4,6.3,6.3,7.7,8.8,8.4,7.4,1,1
i6,143,5.9,5.4,6.1,4.8,5.9,6.8,8.2,5.9,1,28
i0,144,8.0,7.5,6.2,4.6,9.1,9.9,7.0,5.4,0,5
i1,144,6.1,4.2,7.2,5.0,7.8,4.7,7.8,7.5,0,26
i2,144,6.1,6.5,7.2,6.4,7.2,8.0,10.4,7.8,0,8
i3,144,5.6,7.8,5.4,6.1,4.8,9.0,5.7,7.9,1,33
i4,144,7.1,6.4,5.9,4.3,9.6,8.3,7.7,5.0,0,29
i5,144,5.0,6.1,6.4,5.4,5.7,5.8,8.6,6.7,1,2
i6,144,5.7,5.0,4.9,5.3,6.0,6.0,6.1,6.7,1,29
i0,145,6.3,7.1,6.5,4.2,7.8,8.3,7.0,4.4,0,6
i1,145,6.6,4.0,7.2,5.5,9.0,4.8,8.0,7.6,0,27
i2,145,6.7,6.9,5.4,6.0,7.9,9.0,7.9,7.4,0,9
i3,145,6.3,7.2,3.7,6.6,8.9,10.8,4.5,8.2,0,0
